timestamp,store_type,queue_size,estimated_wait_time,actual_wait_time,service_time,avg_service_time,hour,day_of_week,day_of_month,month,is_weekend,is_peak_hour,priority,service_type,status,customer_satisfaction,date
2025-07-23 08:02:11.201639,restaurant,7,122.45,119.91,13.0,15,8,Wednesday,23,7,False,False,normal,takeaway,completed,3.0,2025-07-23
2025-07-23 08:05:30.201639,hospital,10,180.0,178.67,17.0,20,8,Wednesday,23,7,False,True,normal,lab,completed,3.0,2025-07-23
2025-07-23 08:05:50.201639,bank,5,80.74,78.71,10.0,12,8,Wednesday,23,7,False,False,normal,loan,completed,3.0,2025-07-23
2025-07-23 08:07:08.201639,restaurant,8,90.68,82.27,20.0,15,8,Wednesday,23,7,False,False,high,takeaway,completed,3.0,2025-07-23
2025-07-23 08:10:22.201639,hospital,10,180.0,185.83,19.0,20,8,Wednesday,23,7,False,True,normal,consultation,completed,3.0,2025-07-23
2025-07-23 08:13:42.201639,hospital,10,180.0,187.94,19.0,20,8,Wednesday,23,7,False,True,normal,consultation,completed,3.0,2025-07-23
2025-07-23 08:20:50.201639,hospital,12,180.0,181.43,25.0,20,8,Wednesday,23,7,False,True,normal,lab,completed,3.0,2025-07-23
2025-07-23 08:24:59.201639,hospital,14,180.0,183.28,18.0,20,8,Wednesday,23,7,False,True,normal,consultation,completed,1.0,2025-07-23
2025-07-23 08:25:06.201639,hospital,10,180.0,179.01,17.0,20,8,Wednesday,23,7,False,True,normal,checkup,completed,3.0,2025-07-23
2025-07-23 08:25:47.201639,bank,3,72.42,64.45,16.0,12,8,Wednesday,23,7,False,False,normal,withdrawal,completed,3.0,2025-07-23
2025-07-23 08:30:53.201639,government,8,180.0,175.29,29.0,25,8,Wednesday,23,7,False,False,normal,license,completed,2.0,2025-07-23
2025-07-23 08:36:13.201639,retail,4,55.08,58.21,9.0,10,8,Wednesday,23,7,False,False,normal,inquiry,completed,3.0,2025-07-23
2025-07-23 08:38:21.201639,government,6,180.0,176.33,24.0,25,8,Wednesday,23,7,False,False,normal,permit,completed,3.0,2025-07-23
2025-07-23 08:40:29.201639,restaurant,8,141.35,143.96,18.0,15,8,Wednesday,23,7,False,False,normal,delivery,completed,2.0,2025-07-23
2025-07-23 08:43:11.201639,hospital,10,180.0,190.06,25.0,20,8,Wednesday,23,7,False,True,normal,checkup,completed,2.0,2025-07-23
2025-07-23 08:52:57.201639,restaurant,8,130.24,121.93,12.0,15,8,Wednesday,23,7,False,False,normal,dine-in,completed,1.0,2025-07-23
2025-07-23 08:53:47.201639,hospital,14,180.0,179.93,19.0,20,8,Wednesday,23,7,False,True,normal,checkup,completed,2.0,2025-07-23
